OBJECTID,FIPS,NAME,COUNTY,HSR,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MNTLD,MCONFINT
821,08119010202,"Census Tract 102.02, Teller County, Colorado",Teller,17,554,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.7 - 17.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,11.8,95% C.I.: 10.6 - 13.7
822,08119010201,"Census Tract 102.01, Teller County, Colorado",Teller,17,2098,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.7 - 17.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,11,95% C.I.: 9.8 - 14.1
823,08119010105,"Census Tract 101.05, Teller County, Colorado",Teller,17,4443,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.7 - 17.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,11.6,95% C.I.: 10.5 - 13
824,08119010104,"Census Tract 101.04, Teller County, Colorado",Teller,17,1594,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.7 - 17.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,12.6,95% C.I.: 11.5 - 14.2
825,08119010103,"Census Tract 101.03, Teller County, Colorado",Teller,17,5875,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.7 - 17.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,12.6,95% C.I.: 11.4 - 13.9
826,08119010106,"Census Tract 101.06, Teller County, Colorado",Teller,17,4331,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.7 - 17.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,11.2,95% C.I.: 10 - 14.2
827,08061960100,"Census Tract 9601, Kiowa County, Colorado",Kiowa,6,1086,Lowest Quintile,County/Regional Estimate 2.6% (95% C.I.: 0 - 6.3),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,1.2,95% C.I.: 0.6 - 4.7
828,08031006804,"Census Tract 68.04, Denver County, Colorado",Denver,20,2092,Second Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.1,95% C.I.: 7.9 - 8.4
829,08031006701,"Census Tract 67.01, Denver County, Colorado",Denver,20,2692,Middle Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,9.2,95% C.I.: 8.9 - 9.5
830,08031006809,"Census Tract 68.09, Denver County, Colorado",Denver,20,6146,Middle Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,9.3,95% C.I.: 9 - 9.7
831,08031006812,"Census Tract 68.12, Denver County, Colorado",Denver,20,3139,Second Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.4,95% C.I.: 8.1 - 8.7
832,08031004004,"Census Tract 40.04, Denver County, Colorado",Denver,20,1536,Lowest Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.1,95% C.I.: 7.8 - 8.3
833,08031004003,"Census Tract 40.03, Denver County, Colorado",Denver,20,3592,Second Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,8.7,95% C.I.: 8.4 - 9
834,08031006901,"Census Tract 69.01, Denver County, Colorado",Denver,20,4354,Fourth Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,10,95% C.I.: 9.6 - 10.4
835,08031002901,"Census Tract 29.01, Denver County, Colorado",Denver,20,2771,Middle Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,8.8,95% C.I.: 8.5 - 9.1
836,08031002802,"Census Tract 28.02, Denver County, Colorado",Denver,20,4045,Second Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.7,95% C.I.: 8.4 - 9
837,08031002801,"Census Tract 28.01, Denver County, Colorado",Denver,20,2610,Second Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.4,95% C.I.: 8.2 - 8.7
838,08031002803,"Census Tract 28.03, Denver County, Colorado",Denver,20,4358,Second Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.7,95% C.I.: 8.4 - 8.9
839,08031005503,"Census Tract 55.03, Denver County, Colorado",Denver,20,3612,Middle Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,9,95% C.I.: 8.6 - 9.3
840,08031005502,"Census Tract 55.02, Denver County, Colorado",Denver,20,1649,Fourth Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,10,95% C.I.: 9.6 - 10.5
841,08031007013,"Census Tract 70.13, Denver County, Colorado",Denver,20,3059,Middle Quintile,County/Regional Estimate 10.4% (95% C.I.: 9.2 - 11.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,9.3,95% C.I.: 9 - 9.7
